iter	Passed	Remaining
0	3	380
1	6	330
2	9	308
3	12	292
4	14	283
5	17	275
6	20	278
7	23	275
8	26	270
9	29	261
10	31	255
11	34	251
12	36	246
13	39	241
14	41	237
15	44	233
16	47	230
17	49	226
18	52	222
19	54	218
20	57	214
21	59	210
22	62	207
23	64	203
24	66	200
25	69	196
26	71	193
27	74	190
28	76	187
29	79	184
30	82	182
31	84	179
32	87	176
33	89	173
34	92	171
35	94	168
36	97	165
37	99	162
38	102	159
39	104	156
40	107	154
41	109	151
42	112	148
43	113	144
44	116	141
45	118	139
46	121	136
47	123	133
48	126	131
49	129	129
50	131	126
51	134	123
52	136	121
53	139	118
54	141	115
55	144	113
56	146	110
57	149	108
58	151	105
59	154	102
60	156	100
61	158	97
62	161	94
63	163	92
64	166	89
65	169	87
66	171	84
67	174	81
68	176	79
69	179	76
70	181	74
71	184	71
72	186	69
73	189	66
74	191	63
75	194	61
76	196	58
77	199	56
78	201	53
79	203	50
80	206	48
81	209	45
82	211	43
83	214	40
84	216	38
85	219	35
86	221	33
87	224	30
88	227	28
89	229	25
90	231	22
91	234	20
92	236	17
93	239	15
94	241	12
95	243	10
96	246	7
97	248	5
98	251	2
99	254	0
