iter	Passed	Remaining
0	3	3677
1	5	2881
2	7	2645
3	10	2566
4	12	2486
5	14	2464
6	17	2485
7	19	2432
8	21	2390
9	23	2335
10	25	2302
11	28	2345
12	30	2323
13	32	2319
14	34	2291
15	36	2271
16	38	2248
17	41	2250
18	43	2240
19	45	2224
20	47	2207
21	49	2196
22	51	2184
23	53	2188
24	55	2173
25	57	2161
26	59	2159
27	62	2156
28	64	2151
29	66	2144
30	68	2149
31	70	2145
32	73	2140
33	75	2135
34	77	2134
35	79	2133
36	83	2164
37	85	2161
38	87	2158
39	89	2150
40	91	2143
41	93	2139
42	96	2139
43	98	2132
44	100	2125
45	102	2116
46	104	2110
47	106	2104
48	108	2100
49	110	2096
50	112	2092
51	114	2090
52	116	2084
53	118	2077
54	120	2073
55	122	2072
56	126	2091
57	128	2092
58	130	2089
59	134	2105
60	138	2129
61	140	2128
62	143	2127
63	145	2125
64	147	2122
65	150	2131
66	153	2136
67	157	2161
68	161	2178
69	164	2183
70	168	2202
71	171	2216
72	174	2212
73	178	2229
74	180	2228
75	183	2228
76	185	2227
77	188	2226
78	191	2229
79	193	2224
80	195	2218
81	197	2216
82	199	2201
83	201	2195
84	203	2192
85	206	2190
86	208	2184
87	210	2182
88	212	2176
89	214	2172
90	217	2168
91	219	2169
92	221	2162
93	223	2156
94	225	2150
95	227	2145
96	229	2139
97	232	2136
98	234	2129
99	236	2124
100	238	2119
101	240	2115
102	242	2111
103	244	2109
104	246	2103
105	248	2099
106	251	2100
107	254	2101
108	257	2100
109	259	2100
110	262	2098
111	263	2092
112	265	2087
113	267	2081
114	270	2080
115	272	2078
116	274	2072
117	277	2070
118	279	2068
119	281	2063
120	283	2058
121	284	2050
122	287	2047
123	289	2043
124	291	2038
125	293	2034
126	295	2029
127	297	2028
128	301	2037
129	305	2041
130	307	2038
131	309	2034
132	311	2032
133	314	2031
134	316	2030
135	319	2029
136	322	2029
137	324	2026
138	327	2025
139	329	2024
140	332	2023
141	333	2014
142	335	2013
143	338	2011
144	341	2010
145	343	2008
146	346	2007
147	347	2003
148	349	1998
149	351	1993
150	354	1991
151	356	1989
152	358	1984
153	360	1981
154	362	1978
155	364	1974
156	367	1971
157	369	1968
158	371	1964
159	373	1960
160	374	1952
161	376	1948
162	378	1945
163	382	1947
164	384	1945
165	386	1942
166	388	1938
167	390	1933
168	392	1930
169	394	1927
170	396	1924
171	399	1920
172	401	1917
173	403	1914
174	405	1911
175	407	1908
176	410	1907
177	412	1904
178	414	1900
179	416	1897
180	418	1893
181	420	1889
182	423	1890
183	425	1886
184	427	1883
185	429	1878
186	431	1874
187	433	1873
188	436	1873
189	438	1870
190	441	1869
191	443	1867
192	445	1863
193	447	1859
194	450	1858
195	452	1854
196	454	1851
197	456	1847
198	458	1844
199	460	1840
200	462	1837
201	464	1834
202	467	1834
203	469	1832
204	472	1831
205	475	1831
206	477	1829
207	480	1827
208	482	1824
209	484	1822
210	486	1820
211	489	1819
212	491	1817
213	494	1814
214	496	1811
215	498	1808
216	500	1804
217	501	1800
218	504	1798
219	506	1795
220	508	1792
221	510	1789
222	512	1786
223	514	1783
224	517	1781
225	519	1778
226	521	1775
227	523	1772
228	525	1769
229	527	1765
230	529	1762
231	532	1761
232	534	1758
233	536	1754
234	538	1752
235	540	1748
236	542	1746
237	544	1743
238	547	1742
239	549	1739
240	551	1735
241	553	1732
242	555	1729
243	557	1726
244	559	1724
245	561	1721
246	563	1718
247	565	1715
248	567	1712
249	569	1709
250	572	1706
251	574	1703
252	575	1700
253	577	1697
254	579	1694
255	582	1691
256	584	1690
257	587	1688
258	589	1686
259	591	1683
260	593	1680
261	595	1677
262	597	1674
263	599	1672
264	601	1669
265	603	1666
266	606	1663
267	608	1660
268	610	1657
269	612	1655
270	614	1652
271	616	1649
272	618	1647
273	620	1644
274	622	1641
275	624	1638
276	626	1635
277	629	1634
278	632	1634
279	635	1632
280	638	1632
281	641	1632
282	643	1629
283	645	1627
284	648	1626
285	650	1624
286	653	1624
287	656	1622
288	658	1620
289	661	1619
290	663	1617
291	666	1614
292	668	1612
293	670	1610
294	672	1607
295	674	1604
296	676	1602
297	679	1599
298	681	1598
299	683	1595
300	685	1592
301	688	1590
302	690	1587
303	692	1585
304	695	1584
305	697	1582
306	699	1579
307	701	1576
308	704	1574
309	706	1571
310	708	1570
311	710	1567
312	713	1565
313	715	1562
314	717	1560
315	719	1557
316	722	1556
317	724	1553
318	726	1550
319	728	1548
320	730	1545
321	732	1542
322	734	1540
323	737	1537
324	739	1535
325	741	1532
326	743	1530
327	745	1527
328	748	1526
329	750	1524
330	752	1521
331	755	1519
332	757	1516
333	759	1514
334	761	1511
335	763	1509
336	766	1507
337	768	1504
338	770	1502
339	772	1499
340	774	1497
341	777	1495
342	779	1493
343	781	1490
344	783	1487
345	785	1485
346	788	1484
347	791	1482
348	793	1480
349	796	1479
350	798	1477
351	801	1474
352	803	1472
353	805	1470
354	807	1467
355	810	1465
356	812	1463
357	814	1461
358	817	1459
359	819	1457
360	822	1455
361	824	1453
362	827	1451
363	829	1448
364	831	1447
365	833	1444
366	835	1441
367	838	1439
368	840	1436
369	841	1433
370	844	1431
371	846	1429
372	848	1426
373	850	1424
374	853	1421
375	855	1419
376	857	1416
377	859	1414
378	861	1411
379	863	1409
380	865	1406
381	867	1403
382	869	1401
383	871	1398
384	874	1396
385	876	1393
386	878	1390
387	880	1388
388	882	1386
389	884	1383
390	886	1381
391	888	1378
392	891	1376
393	893	1373
394	895	1370
395	897	1368
396	898	1365
